num_transactions,unique_tokens,total_amount,avg_value,recent_txn_days,wallet
5,0,2.8580000067156255,0.571600001343125,1725,0x9a363adc5d382c04d36b09158286328f75672098
3,0,6.4006417e-11,2.1335472333333334e-11,1743,0x9ad1331c5b6c5a641acffb32719c66a80c6e1a17
23,0,6350.87843314595,276.12514926721525,1370,0x9ba0d85f71e145ccf15225e59631e5a883d5d74a
100,0,6102114.228313084,61021.14228313084,1796,0x9e6ec4e98793970a1307262ba68d37594e58cd78
2,0,4.397949842e-09,2.198974921e-09,2117,0xa7e94d933eb0c439dda357f61244a485246e97b8
100,0,2.291032841012151e+31,2.2910328410121507e+29,496,0xa7f3c74f0255796fd5d3ddcf88db769f7a6bf46a
6,0,0.16000001419712323,0.026666669032853873,1401,0xa98dc64bb42575efec7d1e4560c029231ce5da51
7,0,1.4190255878999999e-08,2.0271794112857142e-09,1739,0xb271ff7090b39028eb6e711c3f89a3453d5861ee
4,0,25.256078629044264,6.314019657261066,1194,0xb475576594ae44e1f75f534f993cbb7673e4c8b6
6,0,0.019305274166546774,0.0032175456944244624,1434,0xb57297c5d02def954794e593db93d0a302e43e5c
100,0,6951397.368691536,69513.97368691536,4,0xbd4a00764217c13a246f86db58d74541a0c3972a
8,0,600.0958962033712,75.0119870254214,1686,0xc179d55f7e00e789915760f7d260a1bf6285278b
65,0,93820.31915043318,1443.3895253912797,1447,0xc22b8e78394ce52e0034609a67ae3c959daa84bc
86,0,2139039.5095054093,24872.55243610941,1525,0xcbbd9fe837a14258286bbf2e182cbc4e4518c5a3
4,0,1.4136502254000001e-08,3.5341255635000003e-09,1693,0xcecf5163bb057c1aff4963d9b9a7d2f0bf591710
3,0,1.4132141013000001e-08,4.710713671e-09,1720,0xcf0033bf27804640e5339e06443e208db5870dd2
3,0,1.4122288782e-08,4.707429594e-09,1711,0xd0df53e296c1e3115fccc3d7cdf4ba495e593b56
3,0,1.4143456596e-08,4.714485532e-09,1728,0xd1a3888fd8f490367c6104e10b4154427c02dd9c
5,0,3.4594445e-11,6.9188890000000004e-12,1710,0xd334d18fa6bada9a10f361bae42a019ce88a3c33
4,0,0.4447781600352271,0.11119454000880677,1658,0xd9d3930ffa343f5a0eec7606d045d0843d3a02b4
12,0,888.0000147283469,74.00000122736223,976,0xdde73df7bd4d704a89ad8421402701b3a460c6e9
3,0,1.4115286002e-08,4.705095334e-09,1708,0xde92d70253604fd8c5998c8ee3ed282a41b33b7f
7,0,38.821855720288504,5.545979388612643,1545,0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d
4,0,4.674802398653999e-06,1.1687005996634998e-06,1282,0xebb8629e8a3ec86cf90cb7600264415640834483
3,0,1.8481377778062795,0.6160459259354265,1469,0xeded1c8c0a0c532195b8432153f3bfa81dba2a90
49,0,8907.17260334755,181.77903272137857,525,0xf10fd8921019615a856c1e95c7cd3632de34edc4
100,0,532345.5081584625,5323.455081584625,48,0xf340b9f2098f80b86fbc5ede586c319473aa11f3
3,0,1.4078060623e-08,4.692686874333333e-09,1685,0xf54f36bca969800fd7d63a68029561309938c09b
29,0,20271.445693171307,699.0153687300451,1953,0xf60304b534f74977e159b2e159e135475c245526
3,0,1.4073740929e-08,4.6912469763333334e-09,1681,0xf67e8e5805835465f7eba988259db882ab726800
3,0,1.4144087631e-08,4.714695877e-09,1728,0xf7aa5d0752cfcd41b0a5945867d619a80c405e52
7,0,799.9923275358772,114.28461821941103,1608,0xf80a8b9cfff0febf49914c269fb8aead4a22f847
3,0,1.4155476597000001e-08,4.718492199e-09,1739,0xfe5a05c0f8b24fca15a7306f6a4ebb7dcf2186ac
